epoch,loss,policy_loss,kl_penalty,reward_mean,reward_std,clip_fraction,approx_kl,advantage_mean,grad_norm,adv_saturation,adv_zero_rate,group_size,trained_prompt_num,r_ocr
92,0.000189,0.000139,0.001250,0.5191,0.3654,0.2691,0.000001,-0.000000,0.012989,0.0000,0.0000,8.00,575,0.5191
93,0.000060,0.000007,0.001336,0.5178,0.3538,0.1024,0.000000,0.000000,0.001597,0.0000,0.0000,8.00,583,0.5178
94,0.000053,0.000002,0.001292,0.5072,0.3855,0.0615,0.000000,0.000000,0.001907,0.0000,0.1250,8.00,591,0.5072
95,0.000049,0.000001,0.001209,0.5910,0.3363,0.0747,0.000000,0.000000,0.001635,0.0000,0.0000,8.00,599,0.5910
96,0.000060,0.000012,0.001198,0.4946,0.3619,0.0938,0.000000,0.000000,0.013103,0.0000,0.0000,8.00,607,0.4946
97,0.000110,0.000051,0.001460,0.5198,0.3650,0.2066,0.000000,0.000000,0.004984,0.0000,0.0156,8.00,615,0.5198
98,0.000087,0.000034,0.001311,0.5150,0.3614,0.1528,0.000000,0.000000,0.007475,0.0000,0.0000,8.00,622,0.5150
99,0.000100,0.000030,0.001761,0.5084,0.3157,0.1910,0.000000,0.000000,0.005870,0.0000,0.0000,8.00,630,0.5084
100,0.000087,0.000033,0.001352,0.5549,0.3809,0.1493,0.000000,-0.000000,0.007013,0.0000,0.0000,8.00,638,0.5549
101,0.000101,0.000032,0.001718,0.5277,0.3494,0.1389,0.000000,0.000000,0.007421,0.0000,0.1562,8.00,646,0.5277
102,0.000100,0.000036,0.001613,0.6077,0.2849,0.2222,0.000000,0.000000,0.005194,0.0000,0.0156,8.00,654,0.6077
103,0.000124,0.000063,0.001518,0.6130,0.3382,0.2344,0.000001,0.000000,0.020560,0.0000,0.0000,8.00,662,0.6130
104,0.000163,0.000089,0.001852,0.4103,0.3458,0.2309,0.000000,0.000000,0.010450,0.0000,0.0312,8.00,670,0.4103
105,0.000113,0.000052,0.001522,0.7140,0.3189,0.1910,0.000000,-0.000000,0.007965,0.0000,0.0156,8.00,677,0.7140
106,0.000116,0.000048,0.001691,0.5425,0.3313,0.2205,0.000000,0.000000,0.006147,0.0000,0.0000,8.00,685,0.5425
107,0.000088,0.000024,0.001604,0.6419,0.2885,0.2014,0.000000,0.000000,0.002571,0.0000,0.0312,8.00,692,0.6419
108,0.000062,0.000002,0.001491,0.5658,0.3267,0.0608,0.000000,0.000000,0.003927,0.0000,0.0000,8.00,700,0.5658
109,0.000070,0.000005,0.001621,0.6306,0.2896,0.1042,0.000000,-0.000000,0.002019,0.0000,0.0469,8.00,708,0.6306
110,0.000062,0.000005,0.001429,0.5988,0.3838,0.0816,0.000000,0.000000,0.002150,0.0000,0.0156,8.00,715,0.5988
